Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;GUAINÍA;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;VAUPÉS;VICHADA;Total general
01-apr-2013;;23;;5;;;;;3;2;4;2;2;11;;;;1;1;;2;1;;;;;;3;1;14;;;75
01-aug-2013;1;20;;2;1;1;;;2;11;3;2;1;9;;;;5;2;4;6;;2;3;1;;1;;;14;;;91
01-dec-2013;;8;;1;1;;;;1;2;4;;;2;;;;4;2;;2;;2;;;;;2;1;13;;;45
01-feb-2013;;23;;3;1;;;2;;5;2;;;4;;1;;2;4;4;3;1;;;;1;;2;1;7;;;66
01-jan-2013;1;13;1;;2;;2;;1;3;1;1;3;5;;;;4;1;8;6;3;;1;1;1;;1;2;8;;;69
01-jul-2013;;19;;2;1;;;2;;3;1;;2;4;;1;;2;;1;1;1;;;;2;;1;;3;;;46
01-jun-2013;;16;1;1;2;;;;1;3;2;;5;5;;4;;7;;3;5;;;;;;;1;2;9;;;67
01-mar-2013;;23;;5;1;1;;;;3;;2;1;3;;1;;1;2;4;4;;;;;1;2;;3;9;;1;67
01-may-2013;;15;;;1;;1;;;3;1;1;2;2;;2;;5;1;4;5;1;;;;;1;;1;14;;;60
01-nov-2013;;18;;5;;;1;1;;4;3;;2;6;;1;;4;;1;1;1;1;;;;1;;;14;;;64
01-oct-2013;;11;;4;;2;1;;2;2;2;;1;12;;1;;3;1;1;3;1;;;;;1;;;9;;;57
01-sep-2013;;21;;1;;2;2;;;7;1;1;2;2;;1;;3;2;2;2;1;;;;;1;2;2;12;;;67
02-apr-2013;;21;;3;;1;;;;3;1;;2;7;;;;5;;3;1;;;;1;;1;;1;10;;1;61
02-aug-2013;;22;;1;;;2;;1;12;1;2;;7;;2;;3;1;2;1;2;;1;2;;1;1;1;10;;;75
02-dec-2013;;14;;;;;2;;1;4;1;;1;13;;1;;2;1;;5;1;;;1;;1;;1;9;;;58
02-feb-2013;;19;;3;2;;;1;1;7;4;1;1;4;;1;;1;4;1;;1;;;;;2;1;2;10;;;66
02-jan-2013;;12;;;;;1;1;1;2;1;1;2;2;;;;4;1;4;2;1;;;;;;2;;11;;;48
02-jul-2013;;15;;3;;;;;1;1;3;;;13;;3;;5;;;2;;;;;;;1;2;7;;;56
02-jun-2013;1;8;;2;1;1;;;2;11;3;2;7;4;;3;;3;1;5;1;1;2;;2;;2;;2;11;;;75
02-mar-2013;;19;;6;;;;1;;8;3;;2;;;;;2;2;4;4;1;;1;;;1;2;3;15;;1;75
02-may-2013;;24;;3;;;;1;1;2;3;;1;10;;1;;4;1;4;2;1;3;;;;2;1;;8;;;72
02-nov-2013;;15;2;1;;;;;1;3;3;;;3;;;;3;;1;3;2;1;;1;;1;;1;7;;;48
02-oct-2013;;38;;4;;;2;;1;2;2;4;2;8;;2;;;;1;2;2;;;;;1;;1;9;;;81
02-sep-2013;;26;2;2;;;;;1;6;2;1;5;6;;2;;3;4;1;;3;;1;1;;1;1;1;5;;;74
03-apr-2013;;9;;1;1;;1;2;;2;;2;2;8;;;;1;3;2;2;4;;;;;;2;4;8;;;54
03-aug-2013;;22;;3;;;;1;;7;3;;3;3;;4;;2;1;1;3;2;;2;;;;3;3;7;;;70
03-dec-2013;;17;1;3;;;;;1;2;3;;;4;;2;;4;;1;1;2;;;1;;;;1;7;;;50
03-feb-2013;;13;1;1;1;1;1;2;1;5;2;2;1;4;;1;;4;4;1;;;;;1;1;;;1;8;;1;57
