Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;GUAINÍA;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;VAUPÉS;VICHADA;Total general
01-apr-2015;;25;;6;2;;1;1;1;2;;1;3;7;;3;;;1;5;;3;;3;;;2;2;3;12;;;83
01-aug-2015;;12;1;3;1;;;;1;6;5;;4;4;;6;;4;1;;1;7;2;2;1;;1;3;1;10;;;76
01-dec-2015;;18;;4;1;;2;;;4;2;1;1;12;;;;3;2;1;1;12;1;;;;4;;2;11;;;82
01-feb-2015;;10;1;2;;;1;;;6;9;1;2;4;;4;;1;3;3;4;4;;;1;;2;1;2;9;;;70
01-jan-2015;;10;;1;1;1;1;1;2;5;3;1;2;;;;;6;2;3;;2;1;;2;;2;;2;6;;;54
01-jul-2015;;23;2;2;;;;2;;6;4;;2;16;;5;;1;1;1;3;9;1;6;;;2;1;2;10;;;99
01-jun-2015;;16;;3;2;;;1;2;4;2;5;4;14;;2;;2;;3;2;1;;;1;;5;2;2;8;;;81
01-mar-2015;;8;;4;2;1;;2;1;4;3;1;1;2;;6;;5;;4;2;3;3;;;;1;1;1;14;;;69
01-may-2015;;17;;3;;;;3;2;;6;;2;10;;3;;3;2;4;2;2;;1;1;;5;;;5;;;71
01-nov-2015;;10;;4;;;;1;2;14;3;5;2;;;1;;7;2;2;2;8;4;2;1;1;1;1;;11;;;84
01-oct-2015;;22;;4;3;1;2;;4;12;3;3;;7;;6;;1;2;5;2;8;;2;;;1;5;1;6;;;100
01-sep-2015;;18;;1;2;;;4;1;4;4;1;2;17;;4;;3;1;5;2;6;;1;1;;1;1;1;16;;;96
02-apr-2015;;9;1;;2;1;;1;2;2;3;2;;1;;1;;1;;3;2;4;;;;;4;;;8;;;47
02-aug-2015;;11;2;6;;2;;3;2;4;6;;3;7;;3;1;2;1;4;1;2;1;;1;;1;2;;11;;;76
02-dec-2015;1;24;1;4;2;;;;2;7;4;;2;9;;1;;3;1;;2;2;1;1;;1;1;;;13;;;82
02-feb-2015;;26;;1;2;;;2;;4;6;1;1;12;;;;4;1;4;;5;1;1;1;;1;;2;11;;;86
02-jan-2015;;11;1;3;;;1;1;;3;1;1;;6;;1;;;;2;2;3;;;;;1;1;2;10;;;50
02-jul-2015;;15;;3;1;;;1;1;5;5;;;12;;2;;2;1;4;6;6;1;;1;;3;;;13;;;82
02-jun-2015;;13;1;1;;;;;2;1;1;;1;14;;3;;2;2;1;3;3;;;3;;1;;1;2;;;55
02-mar-2015;;21;;3;;;;1;;3;2;;;9;;2;;2;;3;2;4;1;;;;1;;2;8;;;64
02-may-2015;;19;2;4;;;1;1;1;4;4;1;1;5;;4;;4;;5;4;4;2;1;1;;1;2;3;7;;1;82
02-nov-2015;;10;;2;2;;;1;1;6;2;;2;6;;2;;2;1;2;;10;1;;2;1;2;2;;16;;;73
02-oct-2015;;24;;5;;;1;;1;4;1;2;1;8;;2;;;1;7;;5;;1;;;2;1;1;12;;;79
02-sep-2015;;24;;1;;;1;;2;7;8;;1;10;;3;;4;1;;1;1;;1;;;2;1;1;12;;;81
03-apr-2015;;4;;1;;;;;;3;3;;;2;;3;;2;;1;;1;;;;;;;;4;;;24
03-aug-2015;;22;;4;2;;;1;3;9;4;;;15;;2;;;;1;8;6;1;1;2;;1;;;8;;;90
03-dec-2015;;19;;6;2;;;;3;9;7;;;14;;;;1;;2;2;2;1;;1;;4;1;1;10;;;85
03-feb-2015;;25;;5;1;1;1;2;;2;4;1;;15;;;;4;1;8;2;3;1;1;;;;1;;6;;;84
03-jan-2015;;13;1;5;;;2;1;;4;2;3;1;2;;2;;3;2;4;;4;;;;1;3;;;7;;;60
03-jul-2015;;21;;5;2;;1;1;2;6;3;;;11;;;;;1;1;1;2;1;;;;1;;2;10;;;71
03-jun-2015;;14;;3;3;;;1;;3;1;;;17;;;;1;2;1;1;6;1;;1;;2;;1;9;;;67
03-mar-2015;;11;;2;1;1;;;;1;3;2;;17;;2;;1;;1;;1;1;;;;2;;1;8;;;55
03-may-2015;;6;;3;;;1;1;1;5;3;2;5;6;;1;;1;;4;2;5;1;;1;;;1;1;14;;1;65
03-nov-2015;;19;1;3;5;1;;;2;3;1;2;1;16;;2;;1;1;;5;5;1;;1;;1;1;1;10;;;83
03-oct-2015;;17;;4;2;;;3;;4;8;2;4;5;;6;;2;1;3;3;9;3;3;1;1;1;2;1;14;;;99
03-sep-2015;;22;;5;1;;;2;3;3;4;1;;9;;2;;3;;;4;3;;1;;;1;1;1;8;;;74
04-apr-2015;;15;1;2;;;;1;1;4;4;1;2;8;;3;;2;1;5;2;4;1;;;;;;1;7;;;65
04-aug-2015;;16;1;3;;;1;1;2;4;1;;;12;;3;;1;1;2;1;12;1;1;;1;1;1;1;17;;;84
04-dec-2015;;27;2;1;1;1;;1;2;4;3;;;8;;2;;4;1;1;1;4;;;;;4;3;1;8;;;79
04-feb-2015;;17;;3;2;;;2;;4;4;;2;9;;2;;3;;1;4;6;;;2;;1;;1;12;;;75
04-jan-2015;;11;;7;2;;2;;3;5;4;;2;2;;3;;1;1;2;1;1;2;1;1;;;1;1;10;;;63
04-jul-2015;;15;;6;3;;1;1;4;9;2;4;4;3;;3;;2;4;2;4;4;2;;1;1;3;2;;9;;;89
04-jun-2015;;23;1;4;1;;;2;2;3;;;;17;;1;;2;1;3;1;2;;;;1;3;;;11;;;78
04-mar-2015;;19;;3;1;;1;;1;2;2;1;;10;;3;;1;2;;1;5;;;;;1;1;1;18;;;73
04-may-2015;;7;;4;;;1;2;2;2;1;2;;11;;5;;2;;5;2;3;;;;;1;1;1;13;;;65
04-nov-2015;;20;;3;;;;;;2;3;1;1;20;;2;;1;5;6;3;9;;3;;;1;1;1;12;;;94
04-oct-2015;;16;;2;1;1;;1;3;6;4;1;;10;;5;;2;;2;5;3;2;;;1;3;1;;10;;;79
04-sep-2015;;17;2;3;;;;2;2;6;1;;3;11;;2;;2;1;2;2;12;;1;2;;2;;;10;;;83
05-apr-2015;;11;;;1;;;2;;6;3;1;4;4;;3;;3;2;3;2;3;1;1;;;;1;;11;;;62
05-aug-2015;;13;2;4;1;;;;1;3;3;;2;16;;2;1;1;1;3;3;4;1;;1;;;2;1;9;;;74
05-dec-2015;;11;;6;2;;;2;1;2;5;;1;9;;3;;2;6;3;5;4;;;1;;2;1;2;9;;;77
05-feb-2015;;18;;3;;;;;;;3;1;2;4;;2;;;;1;3;6;1;;1;;2;1;;15;;;63
05-jan-2015;;23;;7;2;;;1;1;3;2;4;1;12;;3;;1;;2;5;;2;;1;1;;1;1;4;;;77
05-jul-2015;1;11;1;3;1;1;1;1;3;6;4;1;1;3;;;;;;2;1;6;1;2;1;;3;;2;7;;;63
05-jun-2015;;16;;5;1;;;2;;3;2;2;1;8;;1;;3;2;;1;1;2;;1;;1;2;1;14;;;69
05-mar-2015;;17;;5;1;;;1;1;3;8;1;1;12;;5;;4;1;1;2;5;;;1;;2;;1;7;;;79
05-may-2015;;17;1;2;;;;;;3;1;;;7;;3;;4;;2;2;2;1;;2;;2;;1;15;;;65
