Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;Guainía;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;Vaupés;VICHADA;Total general
05-feb-2011;;21;;6;;;1;2;;;3;;;6;;;;2;1;4;3;4;;;2;;3;1;1;10;;;70
05-jan-2011;;13;;1;4;;;;;;1;;2;2;;;;1;1;3;1;;1;2;1;;1;1;;13;;;48
05-jul-2011;;19;;2;;;;;1;3;;;;9;;;;2;;1;3;1;;;1;;1;2;;9;;;54
05-jun-2011;;13;;4;2;;1;;;1;;;1;2;;1;;5;1;2;3;;;;;;1;;;5;;;42
05-mar-2011;;22;;5;2;1;;1;;4;2;;;2;;;;1;1;4;4;;1;;;;2;;1;10;;;63
05-may-2011;;17;;1;4;;;;;4;2;;1;4;;;;2;;4;5;;;;;2;2;1;3;19;;;71
05-nov-2011;;19;2;3;3;;;;;3;;;;5;;2;;3;;1;4;2;;;1;2;1;1;;13;;;65
05-oct-2011;;22;1;6;1;;;;1;3;;1;;5;;;;1;;2;4;;1;1;1;;1;;4;11;;;66
05-sep-2011;;25;1;2;;1;1;;1;3;;;;6;;;;2;;2;3;2;;;;;3;;;11;;;63
06-apr-2011;;18;;6;2;;1;1;;;1;;;9;;1;;2;4;1;3;;;;;;2;;1;6;;;58
06-aug-2011;;21;;4;;;;;;3;;;1;;;2;;6;1;;4;2;;;;;2;1;3;16;;;66
06-dec-2011;;27;;2;1;;;;;1;;;;6;;;;3;;1;2;2;;;;;;;;8;;;53
06-feb-2011;;10;;1;2;;;;;3;1;;;3;;;;4;3;3;;;;;1;;1;;1;10;;;43
06-jan-2011;;17;2;2;2;;;;;1;4;;;7;;;;4;1;2;1;;;1;;;2;1;2;9;;;58
06-jul-2011;;27;1;4;;;;;;2;1;;;9;;1;;5;;2;5;1;;;4;;;;;12;;;74
06-jun-2011;;10;;3;;;;1;;1;;;;2;;;;1;1;1;3;2;;;;;1;1;1;4;;;32
06-mar-2011;;10;;2;4;;;;;;1;;;2;;1;;;3;3;2;;;;2;;3;2;1;9;;;45
06-may-2011;;13;1;2;;;;;;4;1;;;5;;;;2;;1;2;1;;;1;;2;;1;10;;;46
06-nov-2011;;6;;1;2;1;;1;;4;2;;1;5;;3;;5;1;1;3;;;;1;;2;3;;16;;;58
06-oct-2011;;12;;4;;;;;;;;;;7;;;;3;;;;;;1;3;;;1;1;3;;;35
06-sep-2011;;10;;3;1;;;;1;2;1;;1;5;;;;4;2;4;4;;;;;;;;4;10;;;52
07-apr-2011;;14;1;7;;;;;;1;2;;;4;;;;3;1;2;3;1;;2;;;;2;1;8;;;52
07-aug-2011;;10;;4;2;1;2;;;1;2;;1;1;;;;4;1;7;4;;;;1;5;2;2;4;9;;;63
07-dec-2011;;17;;1;3;;;;;3;;;;4;;;;;;1;;3;1;;;;;;1;12;;;46
07-feb-2011;;22;;;2;;;;;2;1;1;;10;;1;;1;;2;2;1;;;;;1;1;1;12;;;60
07-jan-2011;;15;;2;1;;1;;;;7;;;3;;2;;2;1;5;1;1;1;;;;1;;1;9;;;53
07-jul-2011;;22;;4;2;;;1;;;1;;;8;;2;;1;1;;1;1;1;;;1;1;1;1;9;;;58
07-jun-2011;;13;1;3;;;;;;;1;;;13;;;;4;1;;5;1;;;1;;;;;8;;;51
07-mar-2011;;19;;1;1;;;1;;2;4;;;4;;;;1;;2;1;2;;;1;;1;;2;6;;;48
07-may-2011;;15;;2;1;;;;;7;3;;;3;;;;;1;3;2;3;;;;;2;1;1;14;;;58
07-nov-2011;;6;;1;2;;1;;;2;1;;1;2;;;;2;1;1;1;;;;1;1;1;1;1;11;;;37
07-oct-2011;;7;;1;3;;;;;2;;;1;4;;2;;2;;2;2;1;;;;;1;;2;11;;;41
07-sep-2011;;25;;2;1;;;;1;1;2;;;10;;;;5;1;;6;1;;;;;1;4;1;5;;;66
08-apr-2011;;11;1;3;;;;1;1;;3;;;6;;2;;3;1;2;5;2;;;2;;2;1;1;13;;;60
08-aug-2011;;15;;1;1;2;;;1;1;1;;;2;;;;1;;1;7;1;;;2;;;;1;8;;;45
