Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;Guainía;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;VAUPÉS;VICHADA;Total general
05-dec-2012;;4;1;4;1;;1;;;3;1;1;;7;;2;;2;;3;2;;;2;1;;2;1;4;7;;;49
05-feb-2012;;19;1;1;3;1;;2;;10;2;2;2;4;;;;8;1;3;4;2;;1;2;1;2;2;;8;;;81
05-jan-2012;;19;;2;1;;;;;3;3;;;5;;;;1;1;3;1;3;1;;1;;1;;1;12;;;58
05-jul-2012;;28;;7;3;;1;;;2;;1;;5;;1;;5;;;2;2;1;;;;2;1;4;22;;;87
05-jun-2012;;20;;3;;;1;;;1;;2;1;7;;;;3;1;5;1;1;;;1;;1;;1;15;;;64
05-mar-2012;;23;1;2;1;;;;;2;;;;7;;;;1;;3;5;1;;;1;;;1;1;9;;;58
05-may-2012;;20;;2;2;;;;3;3;1;;;8;;2;;5;1;5;5;4;;;;;3;1;1;10;;;76
05-nov-2012;;5;;1;1;1;1;;;;;;;6;;;;2;;1;;3;;;3;;2;1;1;9;;1;38
05-oct-2012;;24;1;4;2;;;;;3;2;1;1;6;;5;;2;3;;2;1;;;;;;1;4;10;;;72
05-sep-2012;;13;;1;2;;;2;1;1;;;;11;;;;5;;2;2;;;;2;;;;1;12;;;55
06-apr-2012;;15;;;;;;;;2;;2;2;;;1;;4;3;1;1;1;;;2;;;;;6;;;40
06-aug-2012;;28;1;3;;;;2;;3;1;;1;8;;;;5;2;2;1;2;;;;;;;3;15;;;77
06-dec-2012;;4;;2;;;;;1;3;1;;;7;;1;;3;2;2;3;5;;;1;;;;3;7;;;45
06-feb-2012;;20;;3;3;;;;;3;1;1;;4;;;;3;;;3;1;;;1;;;1;;13;;;57
06-jan-2012;;19;1;2;;;;;;3;;;1;;;1;;5;2;1;6;7;3;1;1;;;2;;12;;;67
06-jul-2012;;27;;3;;;;1;3;3;;;5;4;;2;;3;3;2;;;;;;;;2;3;15;;;76
06-jun-2012;;30;;4;;;2;1;;5;1;1;1;5;;1;;3;2;;1;;;1;1;;1;2;2;8;;;72
06-mar-2012;;29;1;2;2;;;1;;10;1;;;4;;1;;4;;1;2;3;;1;2;;1;;1;8;;;74
06-may-2012;;9;;3;1;;;;;8;1;;2;4;;1;;5;;3;3;3;;;;;2;2;;8;;;55
06-nov-2012;;16;;;;;;1;;1;1;;;7;;1;;4;;;;1;1;;1;;1;;3;19;;;57
06-oct-2012;;11;;4;;;;;2;5;1;2;;5;;;;;5;1;2;1;;1;1;1;2;;1;12;;;57
06-sep-2012;;7;;4;1;;1;;;4;3;4;;11;;3;;4;1;2;3;;1;;;;2;1;4;19;;;75
07-apr-2012;;20;2;3;1;;;2;;2;1;;;2;;;;2;1;2;1;1;;1;1;;1;1;2;8;;;54
07-aug-2012;;22;;2;2;;;;1;6;1;;;5;;1;;1;2;3;3;1;;;;;1;2;1;10;;;64
07-dec-2012;;2;1;5;4;;;;;9;2;;;7;;1;;3;1;;3;2;;1;2;;;1;1;9;;;54
07-feb-2012;;33;;2;3;;;;;4;;5;;4;;;;5;2;1;4;2;1;2;;;1;1;1;13;;;84
