Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;GUAINÍA;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;Vaupoés;VICHADA;Total general
05-aug-2014;;16;;6;3;;1;1;1;;3;;1;15;;;;;;1;2;8;;;;;1;1;1;11;;;72
05-dec-2014;;21;1;1;;;;2;2;4;1;;1;9;;4;;3;3;4;2;3;1;;1;;;4;2;16;;;85
05-feb-2014;;22;;3;;;;;3;3;2;1;;13;;1;;1;1;2;3;1;1;;1;;1;;;6;;;65
05-jan-2014;;12;;;;;;1;;6;3;2;2;;;2;;4;2;3;1;;;;;;;;3;5;;;46
05-jul-2014;;12;;1;1;;;3;3;2;4;;1;3;;2;;5;2;4;4;4;1;;;;1;2;;11;;;66
05-jun-2014;;17;;1;1;;;1;;1;4;1;2;10;;4;;1;;3;1;2;;2;;;2;;3;15;;;71
05-mar-2014;;14;;2;;1;1;;;2;;1;2;14;;1;;;2;1;3;1;;;;;1;;;10;;;56
05-may-2014;;16;;3;;;1;;;2;4;;1;13;;1;;2;2;3;1;1;;;;;1;;;16;;;67
05-nov-2014;;35;1;5;;;;1;1;3;1;;2;8;;1;;2;1;;;3;;;;;1;1;2;12;;;80
05-oct-2014;;7;1;4;3;;;1;1;11;4;;2;4;;3;;;;1;2;1;;1;;;1;2;2;16;;;67
05-sep-2014;;25;1;1;4;;1;1;;1;5;1;1;9;;1;;2;1;1;;3;2;1;2;;2;;;8;;;73
06-apr-2014;1;8;;1;;;;;;4;3;;2;7;;1;1;5;4;1;2;1;;;2;;;;1;13;;;57
06-aug-2014;;22;;3;2;1;;1;;5;1;1;2;9;;;;;;2;1;3;;3;;;1;;1;11;;;69
06-dec-2014;;21;2;3;3;;1;2;3;3;2;1;2;4;;5;;4;2;4;2;3;1;;1;1;3;2;;5;;;80
06-feb-2014;;23;;3;1;;;;2;3;1;2;;11;;1;;3;1;1;1;1;;;;1;1;;2;8;;;66
06-jan-2014;;9;;;2;;;1;1;1;;1;;3;;1;;2;1;3;;2;;;;;;1;1;9;;;38
06-jul-2014;;10;;1;2;;1;1;4;4;4;2;5;5;;2;;2;;2;1;1;1;;2;;;1;1;9;;;61
06-jun-2014;;12;;5;2;;;;3;;5;;2;13;;1;;4;2;;2;1;;;1;;1;;2;8;;;64
06-mar-2014;;22;;3;1;;;;2;2;1;;;7;;2;;2;1;6;1;4;2;;;;2;1;1;4;;;64
06-may-2014;;18;1;4;1;;;;1;6;4;1;1;14;;3;;4;;2;2;1;;;2;;2;;1;12;;;80
06-nov-2014;;21;;4;;;;1;2;4;1;1;3;8;;1;;3;1;4;1;4;1;;1;;2;1;;13;;;77
06-oct-2014;;16;2;5;;;;;6;6;;2;3;13;;;;2;1;2;;3;;3;3;;2;;1;11;;;81
