Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;GUAINÍA;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;Vaupoés;VICHADA;Total general
19-apr-2014;;13;;3;6;;1;;2;1;4;2;3;2;;1;;;2;2;1;3;1;;2;;2;2;;3;;;56
19-aug-2014;;11;2;2;2;;;;1;8;4;2;1;15;;1;;1;;;1;3;;;;;1;;;9;;;64
19-dec-2014;;26;;2;2;1;;1;1;4;;1;;6;;7;1;3;;1;2;5;1;;;;3;2;1;9;;;79
19-feb-2014;;24;;1;3;;;1;1;5;;;;13;;;;2;;4;2;2;2;;1;;1;1;1;6;;;70
19-jan-2014;;6;1;2;4;;;;1;2;3;;2;10;;;;2;;1;;1;1;1;;1;2;1;1;8;;;50
19-jul-2014;;7;1;3;1;1;1;;;6;7;;1;5;;2;;2;3;2;3;2;;;;;1;1;2;20;;;71
19-jun-2014;;20;;2;2;;;2;1;;2;;;8;;5;;1;1;;1;5;;;;;1;1;;13;;;65
19-mar-2014;;22;;2;;;;;1;1;;;2;9;;;;1;1;;;1;1;;1;;;3;;13;;;58
19-may-2014;;11;;1;;;1;2;;2;1;;2;14;;1;;2;1;4;4;2;1;2;;;1;;4;8;;;64
19-nov-2014;;21;1;1;;2;;;2;7;1;1;2;17;;4;;1;;3;1;4;1;;;;2;1;2;16;;;90
19-oct-2014;;12;;5;1;;;1;1;4;1;2;4;5;;2;;4;;3;2;4;;1;;;;;1;7;;;60
19-sep-2014;;15;;4;;;;;1;4;6;3;2;15;;5;;3;2;2;3;3;;1;2;;;;;12;;;83
20-apr-2014;;9;;2;;;;1;;4;1;2;3;3;;1;;;1;1;2;3;2;;1;;2;1;1;3;;;43
20-aug-2014;;22;;1;2;;;1;;3;2;1;4;9;;2;;1;;6;2;4;2;;;;;1;1;9;;;73
20-dec-2014;;14;;2;3;;;;1;2;;;1;6;;2;;2;1;2;1;4;3;;1;1;1;3;1;10;;;61
20-feb-2014;;18;1;;3;;;;2;;3;;;13;;2;;1;;1;1;2;1;;;;;3;1;5;;;57
20-jan-2014;;28;;2;2;;;1;;7;5;1;1;1;;1;;1;1;;2;3;1;;1;;4;2;;9;;;73
20-jul-2014;;12;3;3;1;;;1;1;5;4;;1;7;;;;2;2;2;1;1;2;1;2;;;;;7;;;58
20-jun-2014;;14;;4;2;;;;2;1;1;1;3;10;;2;;2;;4;3;3;;;;;2;2;1;8;;;65
20-mar-2014;;11;;2;1;;1;1;3;4;1;;1;8;;5;;5;;1;5;2;2;;;;2;;1;12;;;68
20-may-2014;;10;;1;;;;;1;3;3;;1;11;;1;;;2;;2;1;1;;1;;3;1;;13;;;55
20-nov-2014;;30;;5;1;;;1;1;1;;;2;11;;2;;2;1;;2;6;3;;2;;;;2;7;;;79
20-oct-2014;;17;2;7;2;;;;2;1;6;1;2;8;;1;;2;;3;1;6;;;2;;1;;1;8;;;73
20-sep-2014;;21;1;1;3;;;;6;9;1;1;1;8;;4;;5;;5;2;2;;1;;;;;1;11;;;83
21-apr-2014;;11;;3;1;;1;1;1;2;;2;2;12;;1;;;1;3;1;2;2;;;;2;;;10;;;58
21-aug-2014;;20;2;1;3;;;1;;5;2;;2;13;;1;;;2;3;6;3;1;;1;;2;1;1;10;;;80
21-dec-2014;;7;;1;1;;;2;1;4;;1;5;4;;1;1;7;;2;1;1;1;1;1;;2;1;1;11;;;57
21-feb-2014;;15;;2;;;;1;1;2;1;;2;7;;2;;2;1;1;2;4;1;;;;1;1;1;12;;;59
21-jan-2014;;19;1;3;1;;;;1;2;;1;;9;;2;;1;2;;4;3;;;;1;2;;3;12;;;67
21-jul-2014;;26;1;2;2;;;2;;7;5;;2;4;;5;;1;3;3;4;3;;;;;3;1;1;13;;;88
21-jun-2014;;12;1;2;2;;;;;4;2;1;;5;;5;;;;4;3;1;1;;1;;1;1;1;7;;1;55
21-mar-2014;;9;;5;2;;;2;1;1;3;1;;12;;2;;1;2;;3;2;;;2;;1;;1;4;;;54
21-may-2014;;22;1;8;1;;;2;3;7;5;;1;12;;1;;1;;3;1;2;1;1;3;;1;2;3;9;;;90
21-nov-2014;;20;;3;1;;;;2;3;;;1;10;;2;;2;1;1;2;5;1;1;;;3;2;;13;;;73
21-oct-2014;;17;;5;3;;;;3;2;3;1;1;17;;2;;;1;1;1;2;;;;;2;1;;11;;;73
21-sep-2014;;8;1;1;3;1;2;1;3;8;4;3;1;2;;1;;2;;3;2;3;4;1;1;;2;1;1;11;;;70
22-apr-2014;;12;;6;1;1;;1;;6;1;1;;13;;1;;3;1;2;2;1;;;;;3;;1;7;;;63
22-aug-2014;;21;1;2;2;1;1;;1;7;1;;5;6;;2;;1;1;1;1;5;1;2;;;;2;2;16;;;82
22-dec-2014;;20;2;3;1;;;;;1;1;2;1;6;;4;;2;2;1;5;4;1;1;3;;1;1;1;8;;;71
22-feb-2014;;20;;;1;;2;1;;6;;;2;6;;1;;2;2;2;1;4;1;;;;1;1;;10;;;63
22-jan-2014;;17;;1;1;;;1;1;3;4;;1;12;;1;;;;1;1;1;;;;;1;1;3;7;;;57
22-jul-2014;;11;2;1;3;;;1;1;;2;2;;11;;2;;4;2;2;;5;1;;3;1;;3;2;17;;;76
22-jun-2014;;9;;1;2;1;1;4;1;1;4;2;5;5;;1;;3;3;4;;1;1;;1;;;1;2;8;;;61
22-mar-2014;;15;1;1;2;;;1;2;1;4;;1;6;;2;1;;2;1;;;2;;1;;2;1;;9;;;55
22-may-2014;;15;;3;3;;1;3;;3;2;;1;6;;3;;1;3;2;;3;1;;;;;1;2;8;;;61
22-nov-2014;;23;1;3;;;;1;2;4;4;;1;5;;2;;1;1;6;1;2;2;;;1;1;;;11;;;72
22-oct-2014;;20;1;4;1;;;;;4;;;1;8;;5;;;;1;3;2;;;;;3;1;;8;;;62
22-sep-2014;;20;;5;2;;1;1;2;5;3;;6;14;;;;1;1;4;1;5;;2;1;;1;;;10;;;85
23-apr-2014;;27;1;4;;1;;;2;2;2;;2;11;;2;;1;;2;;3;;;;;1;;3;11;;;75
23-aug-2014;;16;1;1;6;;1;1;2;2;1;2;2;3;;3;1;4;3;2;2;2;;1;1;;2;1;2;11;;;73
23-dec-2014;;16;1;5;1;;;1;2;3;;;1;1;;4;;2;1;2;1;7;1;;;;4;2;1;9;;;65
23-feb-2014;;7;2;1;2;;1;1;;1;;1;3;7;;1;;6;2;2;;1;1;1;;;1;;3;8;;1;53
23-jan-2014;;24;;5;2;;1;;;5;1;;;12;;1;;4;1;1;2;2;;1;2;;;;;5;;;69
23-jul-2014;;22;3;4;1;;1;;1;4;2;;3;11;;1;;2;1;1;1;3;1;;;3;2;1;2;7;;;77
23-jun-2014;;6;;2;1;;;1;;3;2;;1;5;;1;;;2;1;;1;;;1;;3;;1;6;;;37
23-mar-2014;;4;;1;1;2;2;;;4;6;2;1;;;2;;4;4;1;1;3;1;;;1;1;1;2;5;;;49
23-may-2014;1;8;;2;1;;;;1;6;3;1;;6;;1;1;1;;3;2;2;;1;;;2;;;12;;;54
23-nov-2014;;9;2;3;1;;;;3;3;2;;2;4;;3;;3;2;1;1;1;1;1;1;;2;;1;8;;1;55
23-oct-2014;;20;;2;4;;;4;1;1;;3;;11;;1;;2;3;4;;1;;;1;1;3;1;;13;;;76
23-sep-2014;;19;;5;;;;;;4;;1;1;13;;6;;5;1;3;;2;;;1;;;1;;12;;;74
24-apr-2014;;16;;1;;;;;;3;2;2;1;12;;;;;1;4;1;;1;;1;;2;1;1;18;;;67
24-aug-2014;;7;;;1;;;1;;4;3;;3;4;;1;;2;;1;2;;;;;;;;1;10;;;40
24-dec-2014;;6;;4;2;;;;;6;;1;5;2;;4;;;1;1;3;6;3;;1;;3;3;1;12;;;64
24-feb-2014;;19;;1;1;;;;;1;2;;2;5;;3;;1;;2;2;4;1;;;;1;1;3;9;;;58
24-jan-2014;;12;;1;3;;;2;1;8;3;2;1;7;;;;4;2;3;1;3;;2;1;;2;1;2;9;;;70
24-jul-2014;;10;2;4;2;;;2;;5;4;1;2;17;;;;3;1;2;2;4;2;;1;;1;2;3;9;;;79
24-jun-2014;;19;1;1;;;1;1;1;5;2;;;6;;1;1;1;;;;2;;;;;;2;3;12;;;59
24-mar-2014;;13;;3;1;1;;;2;;3;;1;7;;2;;1;;3;;1;1;;;1;4;;4;6;;;54
24-may-2014;;9;1;1;2;2;;;1;3;3;;;1;;4;;1;;2;;;2;;1;;3;1;3;11;;;51
24-nov-2014;;29;;3;;;;1;;3;2;3;;12;;4;;;1;1;2;8;2;;;1;3;;1;13;;;89
24-oct-2014;;14;1;4;1;;;;2;1;4;;;12;;;;;1;1;2;4;3;;1;;1;2;1;8;;;63
24-sep-2014;;20;2;6;1;;1;1;4;3;2;1;3;12;;1;;;;4;;3;1;3;;;;1;;10;;;79
25-apr-2014;;24;1;1;;;;1;1;2;2;3;2;2;;1;;;1;;1;;;;;;3;;;7;;;52
25-aug-2014;;16;;1;2;;;;;4;2;;1;8;;2;;1;;2;2;3;1;1;1;1;1;2;;15;;;66
25-dec-2014;;4;;;3;;;4;1;3;;;2;1;;2;;2;1;1;2;2;2;;1;;;2;2;10;;1;46
25-feb-2014;;14;2;3;;1;;;1;;1;1;;10;;;;2;;1;;2;1;;1;;;;1;11;;1;53
25-jan-2014;;20;4;1;1;;;1;;1;3;1;;4;;;;1;;1;2;1;;;;;;2;1;17;;;61
25-jul-2014;;15;2;2;;;;;2;6;2;;3;11;;1;;2;;2;2;2;;;1;;1;3;1;16;;;74
25-jun-2014;;18;;2;;;1;;1;4;3;2;;11;;;;3;1;1;;7;;;;;;1;1;4;;;60
25-mar-2014;;12;1;3;;;;1;1;4;1;5;1;10;;1;;1;3;4;2;1;;;2;;1;1;2;6;;;63
25-may-2014;;8;;;;;1;;;1;3;;2;7;;;;2;1;2;;1;1;;1;;2;;1;9;;;42
25-nov-2014;;21;;3;1;;;;;5;1;1;;12;;1;1;1;;7;1;5;;;1;;1;1;3;10;;;76
25-oct-2014;;16;;3;1;;;2;2;1;4;1;2;4;;3;;;1;;4;1;1;1;1;;3;3;2;8;;;64
25-sep-2014;;16;;3;;;;2;3;3;4;;2;8;;3;;;;4;2;;;3;1;;1;;1;16;;;72
26-apr-2014;;11;;2;3;;;1;1;1;3;1;2;3;;1;;5;1;;1;;1;;1;;1;2;;17;;;58
26-aug-2014;;9;;1;1;;;;;5;2;2;1;10;;3;1;1;;1;1;;1;2;;;;1;1;12;;;55
26-dec-2014;;13;1;;1;;;1;;2;;;1;5;;;;3;3;2;;1;;;;;1;2;4;9;;;49
26-feb-2014;;17;1;3;;;;1;;2;1;;;14;;1;;1;;;1;;;;1;;;1;1;7;;;52
26-jan-2014;;12;;3;4;;;2;;5;;1;;4;;;;2;;5;2;2;;;;1;;;2;5;;;50
26-jul-2014;;22;;;;;;;;3;3;;2;4;;2;;4;1;2;3;2;;;1;;;2;;12;;;63
26-jun-2014;;14;;4;3;;2;1;;5;6;;1;11;;1;;;1;1;3;5;1;;2;;1;3;2;10;;2;79
26-mar-2014;;10;1;3;;;1;;1;1;2;1;;10;;1;;3;;3;1;2;;;1;;;;1;8;;;50
26-may-2014;;14;;5;1;;;;1;3;;1;1;17;;1;;4;1;2;1;;;;;;1;1;;16;;;70
26-nov-2014;;23;;6;;;;;;1;1;1;;8;;2;;3;;2;1;2;1;;3;;;;2;13;;;69
26-oct-2014;;6;1;2;;;;2;1;2;3;;2;4;;;1;6;2;2;1;2;2;;;;2;1;1;8;;;51
26-sep-2014;;27;1;3;2;;1;2;5;5;2;1;2;10;;2;;2;;2;2;6;;;;;;1;;13;;;89
27-apr-2014;;8;;2;2;;1;;1;6;2;;1;5;1;3;1;5;3;1;2;1;;;;;1;2;;13;;;61
27-aug-2014;;18;1;1;2;;;2;;5;1;1;1;10;;;;5;;1;2;5;1;;1;;2;1;2;13;;;75
27-dec-2014;;17;1;;;1;;1;;3;2;;2;2;;1;;4;1;1;2;4;1;;1;;;;;11;;;55
27-feb-2014;;19;;4;1;;;;;2;;;1;9;;;;;;;2;1;;;;;1;;;9;;;49
27-jan-2014;;20;;2;3;1;;2;2;1;2;1;3;14;;3;;3;2;2;6;2;;;1;;;1;;9;;;80
27-jul-2014;;7;3;2;2;;;1;;4;4;2;3;;;2;;;;2;1;3;;;2;;2;2;1;14;;;57
27-jun-2014;;21;1;3;4;;;1;1;3;5;;1;5;;1;;4;3;3;;3;;;1;;2;2;1;14;;;79
27-mar-2014;;11;1;2;2;;;;;4;2;1;;9;;1;;;;;;2;;;1;;;;1;7;;;44
27-may-2014;;13;;3;1;;;;;3;2;;;9;;3;1;1;;5;1;2;1;;1;1;;1;;8;;;56
27-nov-2014;;15;;1;;;;1;;1;3;;;16;;2;;1;;3;2;4;;;;;4;;;7;;;60
27-oct-2014;;15;;4;;;;1;1;2;2;;1;6;;3;;2;2;;3;1;;1;;;;1;2;8;;;55
27-sep-2014;;17;1;3;;;;;5;4;6;;4;6;;4;;2;;3;1;1;;;1;;3;;3;10;;;74
28-apr-2014;;18;;1;;;1;1;;6;2;1;4;10;;1;;;1;1;3;;1;;1;;3;3;;12;;;70
28-aug-2014;;22;;3;;;;;3;5;2;;1;8;;2;;2;;2;1;4;1;;;;2;2;3;12;;;75
28-dec-2014;;12;1;;1;2;1;;4;3;;;3;8;;1;;4;1;2;;2;2;;2;1;;3;;6;;;59
28-feb-2014;;22;1;1;1;;1;2;;3;1;1;1;7;;4;;1;1;1;;3;1;;;;1;1;1;10;;;65
28-jan-2014;;8;;3;1;;1;;4;4;2;2;;6;;4;;1;1;1;1;1;;1;;;1;;;15;;;57
28-jul-2014;;12;1;1;2;;;1;1;8;3;;5;8;;1;;;1;2;3;2;1;1;;;1;;3;11;;;68
28-jun-2014;;7;1;3;;1;2;1;;2;5;;1;1;;1;;1;2;2;;;2;1;1;;1;3;1;8;;;47
28-mar-2014;;12;;5;2;;1;;1;1;;2;;13;;2;;2;1;2;1;1;2;;;;;1;1;12;;;62
28-may-2014;;20;1;6;;;1;;3;4;2;1;3;14;;;;;;2;1;;1;2;2;1;;;2;18;;;84
28-nov-2014;1;17;1;4;;;;;1;2;;1;1;10;;4;;3;1;3;1;4;2;;;;3;1;1;11;;;72
28-oct-2014;;19;;4;1;;;2;;4;3;1;1;17;;1;;1;1;1;4;;1;1;;;1;;2;7;;;72
28-sep-2014;;9;3;3;;;2;1;4;3;;;;4;;2;;4;1;4;2;1;2;1;;;2;;3;7;;;58
29-apr-2014;;7;;3;;;;;;2;1;;;14;;;;2;1;3;2;2;;;;;1;;;10;;;48
29-aug-2014;;16;;2;;;;1;1;5;4;2;1;8;;2;;3;;1;2;;;;1;;1;1;2;9;;1;63
29-dec-2014;;24;2;2;;;;;2;6;1;1;2;4;;2;;4;1;4;;2;;1;;;;1;1;12;;;72
29-jan-2014;;3;;2;1;;;4;1;4;;1;2;6;;1;;5;1;;2;3;1;1;1;;2;;;4;;;45
29-jul-2014;;10;;1;1;;;;;3;2;2;;15;;1;;1;;3;2;4;;1;1;;1;2;2;13;;;65
29-jun-2014;;10;2;2;2;1;;1;;5;4;;2;2;;;;7;;2;1;4;;;1;;;1;1;3;;;51
29-mar-2014;;10;;2;;;;1;1;2;;;;4;;3;;2;3;1;;1;1;1;;;2;;1;6;;;41
29-may-2014;;14;2;3;1;1;;1;;4;2;;2;8;;;;;2;1;2;4;;;1;;2;;3;11;;;64
29-nov-2014;;17;;7;1;;;1;3;4;1;;2;8;;3;;1;1;2;1;4;1;3;1;;2;1;2;9;;;75
29-oct-2014;1;21;;1;;;1;;2;1;2;;2;10;;2;;;1;;1;4;;;;;2;;1;13;;1;66
29-sep-2014;;18;2;;2;;1;1;3;6;3;1;;12;;2;;2;1;6;3;4;1;;;;;1;;11;;;80
30-apr-2014;;19;;1;2;;1;;;2;;2;;13;;;;;;;1;;1;;;1;1;1;1;9;;;55
30-aug-2014;;12;2;1;2;;;2;1;4;2;1;2;4;;1;1;4;1;5;4;;2;;1;;5;1;;13;;;71
30-dec-2014;;17;2;1;1;;;4;;7;;;1;1;;2;;3;1;2;;3;1;1;3;;1;1;;14;;;66
30-jan-2014;;11;1;3;;;;;;4;2;1;1;18;;2;;3;;2;1;1;1;;;;1;;;11;;;63
30-jul-2014;;19;2;;1;;;;;3;2;1;2;14;;;;1;;1;1;2;;;;1;1;1;2;12;;;66
30-jun-2014;;10;;2;1;;;1;;5;1;;;5;;1;;1;1;4;1;4;1;;;;2;;1;7;;;48
30-mar-2014;;9;;4;2;;;;1;3;1;1;;4;;;1;2;2;2;1;;1;;1;1;2;2;;9;;;49
30-may-2014;;12;1;2;;;;2;1;4;2;1;1;3;;2;1;;;1;2;3;1;;2;;2;;1;10;;;54
30-nov-2014;;12;1;1;;;;1;5;1;3;2;2;1;;5;;3;;3;4;8;2;1;1;1;;4;;7;;;68
30-oct-2014;;16;;2;;;;;1;4;;;2;9;;3;;;;3;1;3;;;;;1;2;;14;;;61
30-sep-2014;;16;;2;4;;;2;;3;2;;1;13;;4;;1;;1;1;2;;;1;;1;;2;12;;;68
31-aug-2014;;6;;1;;1;;1;1;4;2;1;4;3;;3;;7;1;1;2;2;1;;;;1;1;;10;;;53
31-dec-2014;;6;1;4;1;;;;2;6;;;;3;;3;;4;4;1;1;4;;;;;;3;;18;;1;62
31-jan-2014;;13;;3;1;;;2;1;6;;1;1;11;;2;;3;;2;1;1;;;;;3;;;12;;;63
31-jul-2014;;24;1;3;;;;;1;1;3;1;2;9;;1;;;;;;3;;1;;1;2;1;;15;;;69
31-mar-2014;;17;;1;;;1;1;1;5;;1;;7;;4;;3;;3;1;2;;;1;;;1;;12;;;61
31-may-2014;;10;;;;;1;;;1;1;;2;4;;1;;3;1;4;3;3;1;;1;;2;2;;13;;;53
31-oct-2014;;12;1;6;1;;;2;3;;1;;;1;;3;;1;;2;1;3;;;1;;;;1;10;;;49
