Etiquetas de fila,AMAZONAS,ANTIOQUIA,ARAUCA,ATLÁNTICO,BOLÍVAR,BOYACÁ,CALDAS,CAQUETÁ,CASANARE,CAUCA,CESAR,CHOCÓ,CÓRDOBA,CUNDINAMARCA,GUAINÍA,GUAJIRA,GUAVIARE,HUILA,MAGDALENA,META,NARIÑO,NORTE DE SANTANDER,PUTUMAYO,QUINDÍO,RISARALDA,SAN ANDRÉS,SANTANDER,SUCRE,TOLIMA,VALLE,VAUPÉS,VICHADA,Total general
14-mar-2018,,25,,5,,1,1,3,1,8,4,,2,10,,4,,1,3,1,8,1,,,,,5,,3,10,,,96
14-apr-2018,,22,1,4,4,,1,1,,7,3,,4,7,,7,,2,3,,5,1,1,,1,,3,3,,6,,,86
14-may-2018,,14,,4,4,,,2,1,4,2,,4,9,,1,,3,1,4,4,,,,,,3,,2,6,,,68
14-jun-2018,,20,,6,2,,1,2,,5,2,1,3,11,,2,,2,1,2,5,4,2,1,,,2,1,,10,,,85
14-jul-2018,,23,2,1,9,,,3,3,10,5,1,4,5,,2,,2,5,2,5,5,3,,1,,5,2,2,10,,,110
14-aug-2018,,21,,1,3,,1,,,2,2,,,24,,2,,2,1,1,,2,,1,1,,6,1,4,6,,,81
14-sep-2018,,33,,1,1,,,,,11,3,1,3,11,,7,,3,3,1,2,5,,2,1,1,2,1,1,11,,,104
15-jan-2018,,13,1,1,3,,,,,4,5,,1,11,,,,1,1,5,2,1,1,3,,,1,,2,14,,,70
15-feb-2018,,23,1,4,3,,1,,1,6,4,1,4,19,,1,,1,3,5,3,8,2,1,,,2,2,2,7,,,104
15-mar-2018,,26,1,4,1,1,,1,1,4,2,1,3,14,1,3,,1,1,3,,4,,,,,2,,3,11,,1,89
15-apr-2018,,21,2,2,6,,,2,3,5,6,2,3,4,,2,,6,1,1,3,5,,,1,,4,1,2,15,,,97
15-may-2018,,26,,4,3,,,1,1,4,3,1,5,20,,3,,3,1,4,4,4,,,,,2,1,1,9,,,100
15-jun-2018,,24,,4,3,,,,,7,2,1,1,17,,1,,1,3,6,2,3,,,1,,1,,3,8,,,88
15-jul-2018,,25,1,1,2,,1,1,3,6,10,1,3,4,,3,,3,5,2,4,1,1,,,,6,3,2,11,,,99
15-aug-2018,,28,,4,1,,,,1,8,5,,1,20,,,,2,1,,3,3,1,1,,,3,,1,7,,,90
15-sep-2018,,20,,6,1,,,1,1,12,6,,2,5,,3,,,4,1,4,3,2,,,,3,2,,11,,,87
16-jan-2018,,16,1,8,,,2,2,2,1,4,2,3,9,,1,,1,4,1,2,2,,1,1,,4,1,4,4,,,76
16-feb-2018,1,17,,5,3,,,1,1,3,3,1,2,10,,4,,2,2,3,4,3,,1,,,4,,4,9,,,83
16-mar-2018,,16,2,7,4,,,2,2,4,4,1,2,12,,1,,3,,6,2,3,,,,,4,1,2,13,,,91
16-apr-2018,1,26,,3,5,,,1,1,3,3,1,1,10,,5,,1,1,1,3,2,1,,,,3,,1,13,,,86
16-may-2018,,23,,4,1,,,,,5,2,,3,21,,2,,,2,4,2,,,1,3,,1,1,,9,,,84
16-jun-2018,,19,,3,2,,,,2,2,4,1,4,9,,4,,,2,1,5,2,3,1,,,3,2,4,12,,,85
16-jul-2018,,20,1,2,4,1,,4,,2,3,,1,14,,1,,2,1,,3,3,1,,,,6,2,2,7,,1,81
16-aug-2018,,22,,1,3,,2,,1,8,,1,,18,,2,,2,3,3,,4,,,,,7,3,,9,,,89
16-sep-2018,,14,,3,3,1,,1,5,9,3,1,3,10,,2,,2,4,2,2,3,,,1,,1,2,1,11,,,84
17-jan-2018,,21,,,5,,,1,1,3,6,1,2,15,,2,,1,3,2,1,6,,,,,4,1,1,10,,,86
17-feb-2018,,14,2,,5,1,,2,,9,5,,2,5,,2,,4,2,2,6,1,1,,,,2,2,2,12,,,81
17-mar-2018,,21,1,5,5,1,,3,,12,5,1,2,10,,2,,4,6,4,6,5,1,2,,1,5,3,7,10,,,122
17-apr-2018,,17,1,4,3,,,,3,4,6,,2,14,,4,,2,1,1,3,5,,,,,,,1,9,,,80
17-may-2018,,26,,2,,,,,1,4,2,1,4,17,,3,,2,1,2,3,1,,,1,,7,,1,10,,,88
17-jun-2018,,13,,4,2,,,1,,4,4,1,5,4,,,,1,2,4,1,2,,,,,4,,2,8,,,62
17-jul-2018,,25,,4,2,1,,,2,1,4,,2,16,,1,,1,4,4,2,1,,,,,2,3,2,11,,,88
17-aug-2018,,26,,2,2,,,,3,11,5,2,4,15,,,,2,5,4,,2,,2,,,2,2,1,14,,,104
17-sep-2018,,22,,3,6,1,,1,2,7,,,1,20,,5,,2,2,2,,,,,,,6,,2,8,,,90
18-jan-2018,,21,3,3,2,1,,,,3,2,1,2,13,,2,,,2,2,4,2,,1,,,3,2,5,13,,,87
18-feb-2018,,14,,5,2,2,,4,3,5,7,1,1,6,,2,,4,2,3,3,1,1,2,,,4,4,4,8,,,88
18-mar-2018,,9,1,6,3,,1,1,1,5,3,1,2,7,,1,,3,5,4,4,1,3,2,,,9,3,2,16,,1,94
18-apr-2018,,21,,7,2,,1,1,,2,5,,7,19,,2,,1,4,7,5,3,1,,,3,2,2,3,13,,,111
18-may-2018,,20,2,4,3,,,,,6,5,1,3,20,,1,,2,1,2,,5,3,,,,,,,8,,,86
18-jun-2018,1,12,,2,4,,,2,1,10,2,,4,16,,2,,,1,4,3,1,,,1,1,6,1,2,9,,,85
18-jul-2018,,35,1,2,7,,1,1,1,8,1,1,4,24,,2,,,1,4,,1,,,,,2,2,4,6,,,108
