Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;GUAINÍA;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;VAUPÉS;VICHADA;Total general
aug-18-2016;1;36;;3;;1;;3;1;8;6;1;2;12;;2;;2;;1;5;4;1;;1;1;4;;4;11;;;110
aug-19-2016;;26;;6;;;1;2;1;3;7;1;3;14;;5;;1;1;;2;2;;1;;1;8;1;4;9;;;99
aug-20-2016;1;21;;5;;;;;1;7;3;;3;5;;4;;3;3;1;4;6;2;1;;;4;5;1;11;;;91
aug-21-2016;;17;;3;1;;;;1;4;4;1;3;5;;2;;3;1;2;4;2;;1;1;;2;2;2;7;;;68
aug-22-2016;;25;;3;1;;;;2;5;4;1;3;11;;2;1;;3;1;1;4;2;;1;;2;1;;12;;;85
aug-23-2016;;15;;3;;;;3;2;4;3;;2;18;;4;;;;1;;2;1;2;1;;2;1;1;16;;;81
aug-24-2016;;23;;6;;;1;;;3;2;;4;14;;3;;;1;;3;4;;1;;1;3;;;8;;;77
aug-25-2016;;23;1;6;1;;;;;4;2;;3;15;;1;;1;;1;1;4;1;;;;4;2;;14;;;84
aug-26-2016;;23;;7;;;;1;;5;3;1;2;14;;4;;;2;1;1;1;;1;;;4;2;2;13;;;87
aug-27-2016;;19;2;9;;;2;1;3;10;3;;1;5;;5;;4;1;2;3;6;;1;1;1;2;5;;12;;;98
aug-28-2016;;12;1;1;;;3;2;2;10;3;;3;9;;1;;6;5;2;4;1;2;;;;4;1;1;10;;;83
aug-29-2016;;19;;3;;;;1;4;4;2;;2;10;;1;;2;;2;1;6;;1;2;;2;1;1;19;;;83
aug-30-2016;;22;;4;;;1;1;;11;3;;;9;;6;;2;;4;5;2;;;1;;3;3;1;11;;;89
aug-31-2016;;27;;8;;;;;1;3;1;;2;8;;2;;1;2;5;;;;;4;;5;1;;14;;;84
dec-01-2016;;20;2;4;3;2;;1;1;6;1;1;2;13;;;;4;;5;8;3;1;1;1;;1;;;10;;;90
dec-02-2016;;14;;1;1;1;1;;2;5;3;2;2;12;;3;;4;;3;1;2;;1;;;4;2;;16;;;80
dec-03-2016;;12;;4;4;;;;1;7;3;;1;1;;2;1;3;;1;3;4;;1;;1;6;1;;6;;1;63
dec-04-2016;;5;1;5;4;;3;3;;4;6;;1;4;;4;;6;1;4;5;2;2;;1;2;;3;1;12;;;79
dec-05-2016;;17;;9;3;;;2;;9;4;2;;8;;8;;3;;3;4;2;1;;;;;;1;9;;;85
dec-06-2016;;16;3;5;1;;1;;;5;6;1;;12;;5;;;;2;4;6;;;1;1;2;2;1;13;;;87
dec-07-2016;;17;;4;2;1;;1;1;4;3;;2;7;;4;;6;6;2;2;7;;;;;6;;;8;;;83
dec-08-2016;;11;1;4;2;;;2;3;10;6;1;1;5;;4;;5;4;3;1;5;1;2;;;3;;;9;;;83
dec-09-2016;;20;;5;;;1;;5;8;1;1;;8;;7;;2;2;3;4;2;;;1;;2;3;;17;;;92
dec-10-2016;;21;1;5;2;;1;4;2;6;2;;2;4;;5;;3;;2;1;4;2;;2;;1;1;2;17;;;90
dec-11-2016;;13;2;5;1;;;3;2;6;2;;2;3;;;;1;;2;4;5;;;;;2;2;;10;;;65
dec-12-2016;;16;;6;4;1;;;;7;2;;4;7;;2;1;1;3;3;4;4;1;1;;;2;2;;11;;;82
dec-13-2016;;13;;4;1;;1;;4;9;4;1;;14;;1;;1;;1;1;6;;;;;;;;9;;;70
dec-14-2016;;20;1;4;;;1;;1;10;1;;3;9;;2;;1;2;2;4;3;;;;;2;3;2;11;;;82
dec-15-2016;;22;;2;;;;;1;8;2;;2;6;;3;;5;;2;3;9;;1;1;;2;;;16;;;85
dec-16-2016;1;23;1;4;2;;;6;1;9;1;1;2;9;;8;;3;;3;3;2;;2;1;1;1;;;19;;;103
dec-17-2016;;19;;4;;1;1;2;3;6;;2;5;6;;7;;4;;2;5;5;2;;;;6;2;3;11;;;96
dec-18-2016;;15;;4;;;;1;;3;4;1;5;7;;4;;7;;1;;3;1;;;;4;1;;14;;;75
dec-19-2016;;18;;8;1;;;;4;5;5;1;1;10;;3;;4;2;1;1;4;;;1;1;1;3;;14;;;88
dec-20-2016;;18;1;3;;1;1;2;1;5;1;1;1;10;;4;;4;;1;3;3;;;2;1;3;2;;11;;;79
dec-21-2016;;22;1;5;3;;;;3;1;3;1;3;12;;1;;1;1;1;2;4;2;;;;;2;1;19;;;88
dec-22-2016;;20;;2;3;;;2;3;9;3;1;3;9;;10;;2;;4;2;3;;;;;3;4;1;7;;;91
dec-23-2016;;22;1;6;;1;;2;2;9;1;;1;5;;9;;2;1;3;4;4;2;;;1;1;1;;21;;1;100
dec-24-2016;1;13;;4;1;1;1;;3;7;3;3;3;3;;3;;6;4;1;;2;;;3;;3;1;2;9;;;77
dec-25-2016;;15;;1;;1;;;1;11;;1;1;2;;4;;4;1;1;1;3;2;;2;2;1;2;1;8;;;65
dec-26-2016;;19;;1;2;;;;1;3;1;;3;9;;;;4;2;2;3;;2;;1;;;1;1;18;;;73
dec-27-2016;;10;;2;3;;;2;1;6;7;3;;3;;4;;2;;2;3;2;;;1;;4;1;;12;;;68
dec-28-2016;;31;;;1;;1;1;3;13;1;1;1;9;;6;;2;3;1;3;5;1;;2;;1;2;2;13;;;103
dec-29-2016;;27;1;5;;;;1;4;8;3;2;5;10;;6;;2;1;2;7;8;1;1;3;;5;2;;15;;;119
dec-30-2016;;19;;3;;;;1;3;7;4;1;2;6;;9;;1;3;7;2;3;;;1;;4;;;13;;;89
dec-31-2016;;10;1;8;;;;2;1;10;3;2;3;;;3;;2;3;;3;5;;;;;2;2;1;16;;;77
feb-01-2016;;19;1;;1;;2;4;3;3;15;1;2;15;;2;;5;;1;3;9;1;;1;1;1;1;5;10;;;106
feb-02-2016;;16;;3;;;;3;;8;10;1;1;6;;2;;2;2;3;2;7;1;1;;;3;1;2;18;;;92
feb-03-2016;;17;;4;2;;1;1;2;3;2;;2;12;;1;;1;2;3;2;7;1;;;;1;;1;19;;;84
feb-04-2016;;17;1;3;2;1;2;1;1;6;3;;;;;4;;1;1;3;1;6;2;2;;;;1;3;12;;;73
feb-05-2016;;21;;6;1;1;1;7;;10;3;1;;12;;6;;3;1;4;4;9;;1;1;;1;1;2;15;;;111
feb-06-2016;;22;;6;1;;2;5;2;2;8;;;6;;2;;3;2;2;3;5;3;1;1;;2;2;1;15;;1;97
feb-07-2016;;13;3;6;1;1;;;;6;7;;5;4;;5;;4;1;1;2;4;3;;;1;;2;;20;;;89
feb-08-2016;;25;1;6;;;;;1;7;;2;1;8;;1;;1;1;4;2;8;1;;1;;2;2;1;7;;;82
feb-09-2016;;13;1;3;1;;;2;1;4;3;2;3;9;;1;;2;;2;1;6;3;;2;;3;2;;9;;;73
feb-10-2016;;29;;;1;;;2;1;3;3;1;2;10;;1;;4;1;1;;4;2;1;;1;1;2;;14;;;84
feb-11-2016;;17;4;4;;;;3;1;5;6;2;2;13;;2;;4;3;;3;7;;;;;2;1;2;21;;;102
feb-12-2016;;16;;3;;;;3;2;8;5;;;11;;2;;;2;4;3;3;2;1;1;;2;;1;11;;;80
feb-13-2016;;15;1;6;;;1;5;3;3;5;;1;7;;;;3;;3;2;6;1;;;;;2;;9;;;73
feb-14-2016;1;9;;4;2;;;1;2;10;4;;;3;;3;;1;1;3;6;5;1;;1;;3;5;1;15;;;81
feb-15-2016;;21;;3;1;1;1;1;1;5;2;1;2;13;;1;;1;1;1;2;5;;;;;4;;3;11;;;81
feb-16-2016;;21;1;;;;;2;2;8;8;1;1;11;;2;;1;;2;2;3;;;1;;1;;1;17;;;85
feb-17-2016;;14;1;1;;;;5;1;5;3;2;2;15;;2;;5;1;4;2;5;;;;;4;;2;8;;;82
feb-18-2016;;18;;3;1;;1;1;1;7;7;1;1;15;;1;;3;;;1;5;1;1;1;;1;3;2;15;;;90
feb-19-2016;;15;;4;;;;1;3;10;1;1;3;14;;4;;5;1;6;2;4;2;;1;;4;3;;6;;;90
feb-20-2016;;18;;5;2;;;2;2;6;3;2;2;8;;;1;2;4;2;3;8;;;;1;7;4;;12;;;94
feb-21-2016;;8;;6;1;;1;2;2;7;3;1;4;4;;4;;;;4;3;4;4;1;1;;4;1;1;11;;;77
feb-22-2016;;27;;3;;;;1;1;8;6;6;3;7;;1;;2;2;1;;7;;;;;1;3;;12;;;91
feb-23-2016;;16;1;2;1;;;1;1;5;4;;;12;;1;;6;3;4;3;5;1;;3;;2;3;1;11;;;86
feb-24-2016;;18;;5;1;;;2;;6;5;;2;4;;;;2;1;1;1;4;3;;1;;;1;1;7;;;65
feb-25-2016;;36;1;3;1;;;1;2;4;2;3;;6;;4;;1;1;3;1;5;;;1;;5;1;1;7;;;89
feb-26-2016;1;14;;5;;;;1;;5;3;;1;2;;5;;3;2;2;3;11;1;;1;1;1;3;1;19;;;85
feb-27-2016;2;17;;;;;1;5;2;7;2;1;3;3;;4;;2;2;5;4;5;;2;1;;4;2;;9;;;83
feb-28-2016;;12;1;3;;1;;;1;5;5;1;2;6;;3;;7;1;5;3;;1;;1;;4;1;5;15;;;83
feb-29-2016;;17;3;4;;;;2;1;4;1;2;;9;;1;;2;2;2;;4;1;;;2;;2;3;7;;;69
jan-01-2016;;23;1;3;2;;;1;3;3;1;1;2;1;;2;;5;2;6;6;1;;1;1;;1;1;2;21;;1;91
jan-02-2016;;15;;;3;;;4;1;3;3;;;;;1;;4;;;;4;1;1;1;;5;1;1;6;;;54
jan-03-2016;;19;;4;1;1;1;;;8;5;1;2;2;;2;;2;1;3;;1;;3;;;1;2;2;14;;;75
jan-04-2016;2;16;;2;5;;1;2;2;3;2;1;1;5;;1;;1;1;1;1;5;1;2;;1;1;1;1;10;;;69
jan-05-2016;;20;1;5;;;2;1;;2;4;;;14;;2;;;4;4;;5;2;;;;3;1;3;13;;;86
jan-06-2016;1;31;;7;;;;1;3;;3;1;2;11;;1;;1;2;2;1;6;3;1;1;;1;3;1;14;;;97
jan-07-2016;;32;1;4;1;;;2;6;6;2;1;;9;;7;;3;;3;3;5;2;;;;;;2;9;;;98
jan-08-2016;;14;;3;1;;;;2;6;6;1;2;9;;3;;3;3;;1;8;1;1;;;1;1;;13;;;79
jan-09-2016;;15;;6;4;;1;4;2;9;2;;1;1;1;4;;3;1;2;2;5;2;;1;;;4;;5;;1;76
jan-10-2016;;10;2;6;2;;;1;4;11;1;;3;6;;;1;3;1;6;3;4;1;;1;1;;4;2;9;;;82
jan-11-2016;;11;;4;4;2;1;;2;11;1;2;2;5;;1;;;;1;1;8;1;1;2;;1;3;1;12;;;77
jan-12-2016;;22;;1;2;;;2;3;6;4;1;1;12;;6;;2;3;3;2;2;1;;;;1;1;2;8;;;85
jan-13-2016;;22;;6;2;;1;3;1;2;2;;2;10;;;;4;2;2;4;5;;2;1;1;3;3;1;14;;;93
jan-14-2016;;22;;3;2;;;2;;8;5;1;4;15;;3;;1;;3;2;8;1;;2;1;3;1;;12;;;99
jan-15-2016;;27;2;7;2;;;3;1;5;2;2;1;14;;2;;3;;3;;4;1;;1;;4;1;;18;;;103
jan-16-2016;1;18;1;4;1;1;1;3;4;9;2;2;1;8;;3;;1;1;2;3;10;;;1;;3;1;4;8;;;93
jan-17-2016;;9;2;3;1;;2;;4;8;1;1;1;11;;3;;1;;2;6;5;;;;;3;6;3;14;;;86
jan-18-2016;;21;;3;2;;1;;2;2;1;;;15;;4;;;2;2;1;3;1;1;;;4;;2;22;;;89
jan-19-2016;;17;;7;3;;1;3;1;10;4;1;;16;;2;;5;3;1;;7;;;;1;5;1;;16;;;104
jan-20-2016;;30;;6;;;;1;3;3;3;;6;17;;1;;3;2;2;2;5;1;2;;;1;4;;11;;;103
jan-21-2016;;29;;4;2;;;2;1;7;6;;1;6;;4;;3;2;;1;5;;;3;;1;1;1;10;;;89
jan-22-2016;1;31;;5;;;1;2;3;10;5;;3;16;;4;;5;2;3;5;3;2;;1;;2;1;1;18;;;124
jan-23-2016;;23;;2;;;;2;3;5;5;;;5;;2;;5;2;1;3;2;1;;2;;1;2;2;23;;;91
jan-24-2016;;19;1;3;1;1;;2;;4;5;1;4;5;;5;;3;;2;3;3;;;2;;;2;1;16;;;83
jan-25-2016;1;27;1;4;4;;;1;2;9;2;1;2;5;;1;;2;2;1;5;8;3;;2;;1;2;;12;;1;99
jan-26-2016;;16;;5;;;1;3;4;7;4;1;2;13;;;;3;1;2;1;6;;;3;;1;3;;14;;;90
jan-27-2016;;23;;7;;;;4;;6;3;;1;10;;;;2;1;4;1;1;;3;;1;5;1;3;15;;;91
jan-28-2016;;26;;3;;;;4;;4;5;;1;15;;2;;3;1;1;1;3;3;;;;3;2;1;11;;;89
jan-29-2016;;17;;8;;;;4;1;4;5;1;2;14;;3;;2;;1;3;4;1;;1;1;3;4;1;17;;;97
jan-30-2016;;17;;3;;;;1;;9;5;;4;13;;4;;4;1;3;;10;1;2;1;;;1;2;20;;1;102
jan-31-2016;1;16;;2;;;2;2;1;6;4;;1;8;;2;;;2;6;3;8;;;;1;2;2;3;13;;;85
jul-01-2016;;16;;6;1;;;1;2;10;2;1;;14;;16;;6;1;2;3;6;1;1;1;1;3;2;1;19;;;116
