Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;GUAINÍA;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;VAUPÉS;VICHADA;Total general
apr-01-2017;;16;;3;1;;;2;;9;1;1;;11;;3;;2;;2;4;3;2;1;;;1;;3;14;1;;80
apr-02-2017;;9;;3;;1;;3;2;14;2;2;2;4;;2;;;2;2;2;6;2;;;3;1;2;;17;;;81
apr-03-2017;;13;;5;;1;;;;3;1;;2;10;;3;;1;;1;1;;2;;1;2;1;1;;11;;;59
apr-04-2017;;14;;4;1;;;1;;4;3;;2;12;;1;;;2;;2;3;1;1;;;4;1;1;12;;;69
apr-05-2017;;17;1;7;;;;;;4;2;2;1;12;;5;;3;2;2;4;4;;1;;;3;;;8;;;78
apr-06-2017;;19;;6;;;1;;2;4;3;;2;13;;3;1;2;1;3;2;3;;;;;2;1;;14;;;82
apr-07-2017;;20;1;3;1;;;1;1;3;;;2;13;;1;1;1;2;3;5;3;;1;;;2;;;4;;;68
apr-08-2017;;17;1;4;2;;;1;;7;2;4;3;6;;1;1;1;4;3;1;4;;1;1;;1;2;2;13;;;82
apr-09-2017;;17;;1;;;1;;;6;5;1;7;4;;5;;2;3;4;4;;;1;;1;3;1;;11;;;77
apr-10-2017;;19;;2;;;2;2;;6;5;;1;5;;3;;;1;3;1;2;;1;1;;4;1;2;10;;;71
apr-11-2017;;16;;;2;1;;2;;1;4;2;2;5;;10;;;;2;1;2;;2;1;;3;2;2;12;;;72
apr-12-2017;;20;1;3;1;;;2;;2;2;;1;7;;1;;2;3;2;1;3;;;1;1;1;;;11;;;65
apr-13-2017;;5;;5;;2;1;2;1;5;;;1;3;;1;;;2;2;;1;;;;;2;2;;6;;;41
apr-14-2017;;3;;;2;;;;;2;;1;1;;;;;;;1;1;1;;;2;;3;2;4;8;;;31
apr-15-2017;;11;;2;;;1;;;3;1;;2;5;;1;;;1;1;;;;1;1;;2;1;3;6;;;42
apr-16-2017;;6;;4;;;;;1;8;;1;4;2;;1;;3;2;7;3;3;1;1;;1;4;1;1;11;;;65
